Date,Pays,Infections,Deces,Guerisons,TauxDeces,TauxGuerison,TauxInfection
2021-01-23,Polynésie Française,17852,128,4842,0.72,27.12,72.16
2021-01-23,Pérou,1082907,39274,1002516,3.63,92.58,3.80
2021-01-23,Panama,309851,5034,256597,1.62,82.81,15.56
2021-01-23,Oman,132486,1517,124730,1.15,94.15,4.71
2021-01-23,Nouvelle-Zélande,2283,25,2179,1.10,95.44,3.46
2021-01-23,Népal,269180,1994,263734,0.74,97.98,1.28
2021-01-23,Norvège,60803,544,17998,0.89,29.60,69.50
2021-01-23,Pays-Bas,957213,13616,12335,1.42,1.29,97.29
2021-01-23,Nicaragua,6204,168,4225,2.71,68.10,29.19
2021-01-23,Nigéria,120602,1502,95901,1.25,79.52,19.24
2021-01-23,Niger,4321,151,3436,3.49,79.52,16.99
2021-01-23,Nouvelle-Calédonie,44,0,43,0.00,97.73,2.27
2021-01-23,Namibie,32213,317,29831,0.98,92.61,6.41
2021-01-23,Mozambique,31628,297,20002,0.94,63.24,35.82
2021-01-23,Malaisie,180455,667,137019,0.37,75.93,23.70
2021-01-23,Mexique,1752347,149084,1306138,8.51,74.54,16.96
2021-01-23,Malawi,18439,470,6520,2.55,35.36,62.09
2021-01-23,Maldives,14885,50,13813,0.34,92.80,6.87
2021-01-23,Maurice,556,10,518,1.80,93.17,5.04
2021-01-23,Malte,16542,250,13646,1.51,82.49,16.00
2021-01-23,Mauritanie,16357,416,15127,2.54,92.48,4.98
2021-01-23,Martinique,6370,44,98,0.69,1.54,97.77
2021-01-23,Macao,47,0,46,0.00,97.87,2.13
2021-01-23,Mongolie,1627,2,1149,0.12,70.62,29.26
2021-01-23,Birmanie,137098,3045,121124,2.22,88.35,9.43
2021-01-23,Mali,7965,323,5705,4.06,71.63,24.32
2021-01-23,Macédoine,90471,2779,76423,3.07,84.47,12.46
2021-01-23,Îles Marshall,4,0,4,0.00,100.00,0.00
2021-01-23,Madagascar,18301,273,17609,1.49,96.22,2.29
2021-01-23,Saint Martin,1146,12,1006,1.05,87.78,11.17
